|id|dialog|url|movie
0|0|"Galadriel: ""Three were given to the Elves, immortal, wisest and fairest of all beings."""|https://www.tk421.net/lotr/film/fotr/img/fotr0001.jpg|The Fellowship of the Ring
1|1|"Galadriel: ""Seven to the Dwarf lords, great miners and craftsmen of the mountain halls."""|https://www.tk421.net/lotr/film/fotr/img/fotr0003.jpg|The Fellowship of the Ring
2|2|"Galadriel: ""And nine, nine rings were gifted to the race of Men — who above all else, desire power."""|https://www.tk421.net/lotr/film/fotr/img/fotr0004.jpg|The Fellowship of the Ring
3|3|"Galadriel: ""But they were all of them deceived, for another ring was made."""|https://www.tk421.net/lotr/film/fotr/img/fotr0005.jpg|The Fellowship of the Ring
4|4|" Galadriel: ""In the land of Mordor, in the fires of Mount Doom, the Dark Lord Sauron forged in secret a master ring, to control all others."""|https://www.tk421.net/lotr/film/fotr/img/fotr0006.jpg|The Fellowship of the Ring
5|5|[Sauron is shown at the Crack of Doom, masked and clothed in metal armor, wearing the One Ring on his right hand.]|https://www.tk421.net/lotr/film/fotr/img/fotr0007.jpg|The Fellowship of the Ring
6|6|[The Ring begins to glow and a red inscription appears.]|https://www.tk421.net/lotr/film/fotr/img/fotr0009.jpg|The Fellowship of the Ring
7|7|[Villagers flee from burning homes as the army of Sauron begins its attack on the inhabitants of Middle-Earth.]||
8|8|[Vast armies of Men, Elves and Orcs assemble on a battlefield.]||
9|9|[The Elves and Humans regard their enemies as the Orcs snarl back.]|https://www.tk421.net/lotr/film/fotr/img/fotr0010.jpg|The Fellowship of the Ring
10|10|"Elrond: ""Tangado haid! Leithio i philinn!"" (Hold positions! Fire arrows!)"|https://www.tk421.net/lotr/film/fotr/img/fotr0012.jpg|The Fellowship of the Ring
11|11|[The Elves raise their bows and release arrows at the oncoming Orcs, knocking down the first line of Orcs.]|https://www.tk421.net/lotr/film/fotr/img/fotr0013.jpg|The Fellowship of the Ring
12|12|[As the wave of the Orc infantry reaches the first line of the Elven troops, the Elves swing their swords up, slicing the Orcs, one after the other down the line.]|https://www.tk421.net/lotr/film/fotr/img/fotr0014.jpg|The Fellowship of the Ring
13|13|"Galadriel: ""But the power of the Ring could not be undone."""|https://www.tk421.net/lotr/film/fotr/img/fotr0017.jpg|The Fellowship of the Ring
14|14|[Sauron strides onto the battlefield, towering over both Elves and Men.]|https://www.tk421.net/lotr/film/fotr/img/fotr0020.jpg|The Fellowship of the Ring
15|15|[Sauron wields a mace, hitting a group of warriors and sending them flying across the field. He repeats it with another fell swoop. The leader of Men raises his sword to strike Sauron, but Sauron parries the blow and flings him against the rock, crushing him to death.]|https://www.tk421.net/lotr/film/fotr/img/fotr0021.jpg|The Fellowship of the Ring
16|16|[Horrified, one of the Men rushes to the fallen warrior.]|https://www.tk421.net/lotr/film/fotr/img/fotr0022.jpg|The Fellowship of the Ring
17|17|"Galadriel: ""It was in this moment, when all hope had faded, that Isildur, son of the King, took up his father's sword."""|https://www.tk421.net/lotr/film/fotr/img/fotr0023.jpg|The Fellowship of the Ring
18|18|[Isildur grasps the hilt of the sword, but Sauron stomps it down, shattering it.]|https://www.tk421.net/lotr/film/fotr/img/fotr0024.jpg|The Fellowship of the Ring
19|19|[Sauron, with the Ring on his finger, reaches down towards Isildur.]|https://www.tk421.net/lotr/film/fotr/img/fotr0025.jpg|The Fellowship of the Ring
20|20|[Isildur lets out a battle cry and strikes Sauron's hand with the shard of the sword, slicing the finger that bears the One Ring. Sauron lets out a cry as the Ring is separated from him.]|https://www.tk421.net/lotr/film/fotr/img/fotr0026.jpg|The Fellowship of the Ring
21|21|[Sauron implodes, sending a shock wave throughout the battlefield, knocking the warring troops off their feet.]|https://www.tk421.net/lotr/film/fotr/img/fotr0028.jpg|The Fellowship of the Ring
22|22|[His armor falls unto the ground, his body vaporized.]||
23|23|"Galadriel: ""The Ring passed to Isildur, who had this one chance to destroy evil forever. But the hearts of Men are easily corrupted. And the Ring of Power has a will of its own."""|https://www.tk421.net/lotr/film/fotr/img/fotr0031.jpg|The Fellowship of the Ring
24|24|[Isildur, proudly wearing the Ring of Power on a chain round his neck, returns from the battle.]|https://www.tk421.net/lotr/film/fotr/img/fotr0032.jpg|The Fellowship of the Ring
25|25|[On the way, his troop is attacked by a band of Orcs. In the fighting, Isildur grabs the chain and snaps it, putting the Ring on his finger, and immediately vanishes.]|https://www.tk421.net/lotr/film/fotr/img/fotr0033.jpg|The Fellowship of the Ring
26|26|[Isildur dives into the river. But the Ring slips off his finger and falls down to the river bottom.]|https://www.tk421.net/lotr/film/fotr/img/fotr0034.jpg|The Fellowship of the Ring
27|27|[Isildur, visible again, is spotted by Orcs and shot by arrows.]|https://www.tk421.net/lotr/film/fotr/img/fotr0035.jpg|The Fellowship of the Ring
28|28|"Galadriel: ""…to his death."""|https://www.tk421.net/lotr/film/fotr/img/fotr0036.jpg|The Fellowship of the Ring
29|29|[A hand, gnarled, twisted and filthy, opens its palm to reveal the Ring.]|https://www.tk421.net/lotr/film/fotr/img/fotr0037.jpg|The Fellowship of the Ring
30|30|"Gollum: ""It came to me, my own, my love, my own, my precious! Gollum!"""|https://www.tk421.net/lotr/film/fotr/img/fotr0038.jpg|The Fellowship of the Ring
31|31|[The Ring bounces slowly down a chasm in the rocks of Gollum's cave.]||
32|32|"Bilbo: ""A ring!"""|https://www.tk421.net/lotr/film/fotr/img/fotr0039.jpg|The Fellowship of the Ring
33|33|[Bilbo hears Gollum's shrieks, and gets to his feet. He puts the Ring in his pocket.]|https://www.tk421.net/lotr/film/fotr/img/fotr0040.jpg|The Fellowship of the Ring
34|34|[The Misty Mountains fade from view as a map appears, moving slowly across the landscape to reveal the length and breadth of Middle-Earth.]||
35|35|[The interior of Bag End appears. Organic, rounded and compact in nature, it is the home of a well-to-do, settled but rather untidy person. Books and maps are piled up in every room, spilling over shelves, on the floor, anywhere they can find a spare space, alongside firewood and assorted homely utensils.]||
36|36|"Bilbo: ""There and Back Again. A Hobbit's Tale, by Bilbo Baggins."""|https://www.tk421.net/lotr/film/fotr/img/fotr0041.jpg|The Fellowship of the Ring
37|37|"Bilbo: ""Now… where to begin? Ah, yes."""|https://www.tk421.net/lotr/film/fotr/img/fotr0042.jpg|The Fellowship of the Ring
38|38|[Images of the Shire and its inhabitants appear as Bilbo speaks. In the market square, Hobbits gather to look over the latest wares, present their stock, and share a drink. In the fields, cows are being milked, pathways swept clean, and animals grazed.]|https://www.tk421.net/lotr/film/fotr/img/fotr0043.jpg|The Fellowship of the Ring
39|39|"Bilbo (voiceover): ""Hobbits have been living and farming in the four Farthings of the Shire for many hundreds of years. Quite content to ignore and be ignored by the world of the Big Folk — Middle-Earth being, after all, full of strange creatures beyond count. Hobbits must seem of little importance, being neither renowned as great warriors, nor counted among the very wise."""|https://www.tk421.net/lotr/film/fotr/img/fotr0045.jpg|The Fellowship of the Ring
40|40|[One of the Hobbits seems intent on removing a parasite from his ear. Bilbo pauses and chuckles to himself at the image.]|https://www.tk421.net/lotr/film/fotr/img/fotr0046.jpg|The Fellowship of the Ring
41|41|[A hobbit, making eyes at and preparing to kiss a lady, is distracted by a tray of passing food. He grabs a large cake, stuffing it into his mouth. The lady does not get her kiss.]|https://www.tk421.net/lotr/film/fotr/img/fotr0047.jpg|The Fellowship of the Ring
42|42|"Bilbo (voiceover): ""A rather unfair observation, as we have also developed a keen interest in the brewing of ales, and the smoking of pipe-weed. But where our hearts truly lie is in peace and quiet, and good tilled earth. For all Hobbits share a love of things that grow."""|https://www.tk421.net/lotr/film/fotr/img/fotr0048.jpg|The Fellowship of the Ring
43|43|[A party banner is erected in the field, to much applause and cheers.]||
44|44|[A young hobbit is sitting beneath a tree in the woods, reading a book. He hears a male voice singing.]|https://www.tk421.net/lotr/film/fotr/img/fotr0049.jpg|The Fellowship of the Ring
45|45|"""The road goes ever on and on,"|https://www.tk421.net/lotr/film/fotr/img/fotr0050.jpg|The Fellowship of the Ring
46|46|"Frodo: [folding his arms] ""You're late!"""|https://www.tk421.net/lotr/film/fotr/img/fotr0051.jpg|The Fellowship of the Ring
47|47|"Gandalf: ""A wizard is never late, Frodo Baggins. Nor is he early. He arrives "|https://www.tk421.net/lotr/film/fotr/img/fotr0052.jpg|The Fellowship of the Ring
48|48|[Both he and Frodo slowly begin to grin and crack up into laughter.]|https://www.tk421.net/lotr/film/fotr/img/fotr0054.jpg|The Fellowship of the Ring
49|49|"Frodo: [leaps onto cart and hugs the old man] ""It's wonderful to see you Gandalf!"""|https://www.tk421.net/lotr/film/fotr/img/fotr0056.jpg|The Fellowship of the Ring
50|50|"Gandalf: [laughs] ""Ooh! You didn't think I'd miss your Uncle Bilbo's birthday?"""|https://www.tk421.net/lotr/film/fotr/img/fotr0058.jpg|The Fellowship of the Ring
51|51|"Frodo: ""You know Bilbo. He's got the whole place in an uproar."""|https://www.tk421.net/lotr/film/fotr/img/fotr0060.jpg|The Fellowship of the Ring
52|52|"Gandalf: ""Well, that should please him!"" (chuckles)"|https://www.tk421.net/lotr/film/fotr/img/fotr0061.jpg|The Fellowship of the Ring
